Replay,Replay,重玩,リプレイ,Repetir,Volver a jugar,Wiederholen,Rejouer,재생,إعادة التشغيل,Повторить
Play,Play,游玩,プレイ,Jogar,Jugar,Spielen,Jouer,재생,اللعب,Играть
UnLockedDes,Complete,完成,完了,Completar,Completar,Abschließen,Terminer,완료,أكمل,Завершить
LeagueRank,League rank,联赛段位,リーグ ランク,Classificação da liga,Rango de liga,Ligarang,Rang de ligue,리그 랭크,مرتبة الدوري,Ранг в лиге
RankingSettlement,You are No.xx,你是第xx名,あなたは No.xx です,Você é o nº xx,Eres el n.° xx,Du bist Nr. xx,Vous êtes n°xx,당신은 No.xx입니다,أنت رقم xx,Вы №xx
RankSettlement,You are still at rank xx,你依旧是xx段位,あなたはまだランク xx です,Você ainda está na classificação xx,Aún estás en el rango xx,Du bist noch auf Rang xx,Vous êtes toujours au rang xx,당신은 아직 랭크 xx에 있습니다,ما زلت في المرتبة xx,Вы все еще на ранге xx
PromotionDes,There are <size=80><color=blue><b>XX</b></color></size> people left to reach the promotion rank,再超过 <size=80><color=blue><b>XX</b></color></size> 人就可以晋级,昇格ランクに到達するにはあと <size=80><color=blue><b>XX</b></color></size> 人必要です,Restam <size=80><color=blue><b>XX</b></color></size> pessoas para alcançar a classificação de promoção,Quedan <size=80><color=blue><b>XX</b></color></size> personas para alcanzar el rango de ascenso,"Es sind noch <size=80><color=blue><b>XX</b></color></size> Leute übrig, die den Aufstiegsrang erreichen",Il reste <size=80><color=blue><b>XX</b></color></size> personnes pour atteindre le rang de promotion,승격 랭크에 도달할 <size=80><color=blue><b>XX</b></color></size> 명이 남았습니다,يوجد <size=80><color=blue><b>XX</b></color></size> شخص متبقٍ للوصول إلى مرتبة الترقية,"Осталось <size=80><color=blue><b>XX</b></color></size> человек, чтобы достичь ранга повышения"
Rank1,Bronze,青铜,ブロンズ,Bronze,Bronce,Bronze,Bronze,브론즈,برونزية,Бронза
Rank2,Silver,白银,シルバー,Prata,Plata,Silber,Argent,실버,فضية,Серебро
Rank3,Gold,黄金,ゴールド,Ouro,Oro,Gold,Or,골드,ذهبية,Золото
Rank4,Platinum,铂金,プラチナ,Platina,Platino,Platin,Platine,플래티넘,بلاتينية,Платина
Rank5,Diamond,钻石,ダイヤモンド,Diamante,Diamante,Diamant,Diamant,다이아몬드,ألماسية,Бриллиант
Rank6,Legendary,传奇,レジェンダリー,Lendário,Legendario,Legendär,Légendaire,레전더리,أسطورية,Легендарный
Skin,Skin,皮肤,スキン,Pele,Aspecto,Skin,Skin,스킨,مظهر,Кожа
HardMode,Hard,困难,ハード,Difícil,Difícil,Schwer,Dur,하드,صلب,Сложный
Vehicle,Vehicle,车辆,車両,Veículo,Vehículo,Fahrzeug,Véhicule,차량,مركبة,Транспорт
Exhaust,Exhaust,尾气,排気装置,Escapamento,Escape,Auspuff,Échappement,배기,عادم,Выхлоп
Street,Street,街道,ストリート,Rua,Calle,Straße,Rue,거리,شارع,Улица
Selected,Selected,选中,選択済み,Selecionado,Seleccionado,Ausgewählt,Sélectionné,선택됨,محدد,Выбрано
UnlockConditionDes,Unlocked at hard level xx,在困难关卡xx关解锁,ハード レベル xx でロック解除,Desbloqueado no nível difícil xx,Desbloqueado en el nivel difícil xx,Freigeschaltet auf schwerem Level xx,Débloqué au niveau difficile xx,하드 레벨 xx에서 잠금 해제,مفتوح في المستوى الصعب xx,Открывается на сложном уровне xx
Level,level xx,xx关卡,レベル xx,nível xx,nivel xx,Level xx,niveau xx,레벨 xx,المستوى xx,уровень xx
DoubleReward,Double Reward,双倍奖励,ダブル報酬,Recompensa Dupla,Doble recompensa,Doppelte Belohnung,Double récompense,더블 리워드,مكافأة مضاعفة,Двойная награда
DoubleRewardDes,"In the next 15 minutes, you will  receive double trophy rewards",在接下来的15分钟内，你将获得双倍奖杯奖励,次の 15 分間に、ダブルトロフィー報酬を受け取ります,"Nos próximos 15 minutos, você receberá recompensas de troféus em dobro","En los próximos 15 minutos, recibirás el doble de recompensas en trofeos",In den nächsten 15 Minuten erhältst du die doppelte Trophäenbelohnung,"Dans les 15 prochaines minutes, vous recevrez le double de récompenses en trophées",다음 15분 동안 트로피 보상을 두 배로 받게 됩니다,في الدقائق الـ 15 التالية، ستحصل على مكافآت كأس مضاعفة,В течение следующих 15 минут вы получите двойные трофейные награды
Spin,Spin,抽奖,宝くじ,Spin,Girar,Spin,Spin,스핀,يلف,Вращение
Racing,Racing,赛车,レース,Racing,Carreras,Racing,Racing,레이싱,سباق,Гонки
League,League,联赛,リーグ,Liga,Liga,Liga,Ligue,리그,الدوري,Лига
RankDes,"Complete levels to collect trophies, earn higher  ranks and get",完成关卡以收集奖杯，赢得更高排名并获得,レベルを完了してトロフィーを収集し、より高いランキングを獲得して獲得しましょう,"Complete os níveis para coletar troféus, ganhar classificações mais altas e obter","Completa niveles para recolectar trofeos, obtener rangos más altos y obtener","Schließe Levels ab, um Trophäen zu sammeln, höhere Ränge zu erreichen und","Terminez les niveaux pour collecter des trophées, gagner des rangs plus élevés et obtenir",레벨을 완료하여 트로피를 수집하고 더 높은 순위를 획득하고 획득하세요.,أكمل المستويات لجمع الجوائز وكسب رتب أعلى والحصول على,"Проходите уровни, чтобы собирать трофеи, зарабатывайте более высокие ранги и получайте"
Unlock,Lvxx Unlock,Lvxx 解锁,Lvxxロック解除,Desbloqueio Lvxx,Desbloqueo de nivel xx,Lvxx freizuschalten,Lvxx Unlock,Lvxx 잠금 해제,فتح Lvxx,Lvxx Разблокировка
UnlockNewSkins,Unlock New Skins,解锁新皮肤,新しいスキンのロックを解除する,Desbloqueie novas skins,Desbloquea nuevos aspectos,Neue Skins freizuschalten,Débloquez de nouveaux skins,새로운 스킨 잠금 해제,فتح جلود جديدة,Разблокируйте новые скины
later,later,稍后,後で,mais tarde,más adelante,später,plus tard,나중에,لاحقًا,позже
Tips1,Complete levels and get trophies！,完成关卡，获得奖杯！,レベルをクリアしてトロフィーを獲得しましょう！,Complete os níveis e ganhe troféus！,¡Completa niveles y obtén trofeos!,Schließe Level ab und erhalte Trophäen!,Terminez les niveaux et obtenez des trophées !,레벨을 완료하고 트로피를 받으세요!,أكمل المستويات واحصل على الجوائز!,Проходите уровни и получайте трофеи!
Tips2,Keep your rank rising！,不断提升你的排名！,ランクを上げ続けましょう！,Mantenha sua classificação subindo！,¡Sigue subiendo de rango!,Steige in deinem Rang!,Continuez à augmenter votre rang !,계급을 계속 높이세요!,استمر في رفع رتبتك!,Повышайте свой рейтинг!
Tips3,Time ends to upgrade to senior league！,升级到高级联赛的时间已到！,シニアリーグにアップグレードする時間は終了です！,O tempo acaba para atualizar para a liga sênior！,¡Se acabó el tiempo para ascender a la liga sénior!,Die Zeit für den Aufstieg in die Oberliga ist abgelaufen!,Le temps pour passer à la ligue senior est écoulé !,시니어 리그로 업그레이드할 시간이 끝났습니다!,انتهى الوقت للترقية إلى الدوري الممتاز!,Время перехода в высшую лигу истекает!
Tips4,Tap to continue,点击继续,タップして続行,Toque para continuar,Toca para continuar,"Tippe, um fortzufahren",Appuyez pour continuer,계속하려면 탭하세요,انقر للمتابعة,"Нажмите, чтобы продолжить"
CoinNotEnough,Not Enough Coins,金币不足,コインが足りません,Não há moedas suficientes,No hay suficientes monedas,Nicht genug Münzen,Pas assez de pièces,동전이 충분하지 않음,لا يوجد عدد كافٍ من العملات,Недостаточно монет
AdNotReady,Ads Not Ready,抱歉，广告未准备好,広告がまだ準備できていません,Anúncios não prontos,Los anuncios no están listos,Werbung nicht bereit,Les publicités ne sont pas prêtes,광고가 준비되지 않음,الإعلانات غير جاهزة,Реклама не готова
FiveStarRating,Please rate 5 stars if you like this game.,如果你喜欢我们游戏，请给我们五星好评,このゲームが気に入ったら、5 つ星を付けてください。,"Por favor, avalie com 5 estrelas se você gosta deste jogo.",Califica con 5 estrellas si te gusta este juego.,"Bitte bewerten Sie das Spiel mit 5 Sternen, wenn es Ihnen gefällt.",Veuillez noter 5 étoiles si vous aimez ce jeu.,이 게임이 마음에 드시면 별 5개를 주세요.,يرجى تقييم اللعبة بخمس نجوم إذا أعجبتك.,"Пожалуйста, оцените игру на 5 звезд, если она вам понравилась."
Proposal,Please level your suggestions,请留下您的建议,ご提案のレベルをお知らせください,"Por favor, nivele suas sugestões",Nivela tus sugerencias,Bitte teilen Sie Ihre Vorschläge mit,Veuillez noter vos suggestions,제안을 레벨로 지정해 주세요,يرجى رفع مستوى اقتراحاتك,"Пожалуйста, оцените свои предложения"
InputProposal,Type your suggestions here,在这里输入您的建议,ご提案をここに入力してください,Digite suas sugestões aqui,Escribe tus sugerencias aquí,Geben Sie hier Ihre Vorschläge ein,Tapez vos suggestions ici,제안을 여기에 입력하세요,اكتب اقتراحاتك هنا,Введите свои предложения здесь
Submit,Submit,提交,送信,Enviar,Enviar,Senden,Soumettre,제출,إرسال,Отправить
Exit,Exit,退出,終了,Sair,Salir,Beenden,Quitter,종료,خروج,Выйти
Thanks,"Thank you for your valuable feedback, it is important for us to improve our game.",感谢您的宝贵反馈，这对我们提升游戏很重要！,貴重なフィードバックをありがとうございます。ゲームを改善するために重要です。,"Obrigado pelo seu valioso feedback, é importante para nós melhorarmos nosso jogo.","Gracias por tus valiosos comentarios, es importante para nosotros mejorar nuestro juego.","Vielen Dank für Ihr wertvolles Feedback, es ist uns wichtig, unser Spiel zu verbessern.","Merci pour vos précieux commentaires, ils sont importants pour nous d'améliorer notre jeu.",귀하의 소중한 피드백을 주셔서 감사합니다. 이는 게임을 개선하는 데 중요합니다.,شكرًا لك على ملاحظاتك القيمة، من المهم بالنسبة لنا تحسين لعبتنا.,"Спасибо за ваш ценный отзыв, нам важно улучшить нашу игру."
Feedback,Feedback,反馈,フィードバック,Feedback,Comentarios,Feedback,Commentaires,피드백,الملاحظات,Отзыв
CompetitionOver,"The game is over, try harder next time!",比赛结束，下次好运！,ゲームは終わりました。次回はもっと頑張りましょう!,"O jogo acabou, tente mais da próxima vez!","¡El juego ha terminado, esfuérzate más la próxima vez!","Das Spiel ist vorbei, gib dir nächstes Mal mehr Mühe!","Le jeu est terminé, essayez encore plus fort la prochaine fois !",게임은 끝났습니다. 다음에는 더 열심히 노력하세요!,انتهت اللعبة، حاول أن تبذل المزيد من الجهد في المرة القادمة!,"Игра окончена, постарайся лучше в следующий раз!"
Day,Days,天,日数,Dias,Días,Tage,Jours,일,أيام,Дни
Hour,Hours,小时,時間数,Horas,Horas,Stunden,Heures,시간,ساعات,Часы
KeepRank,Keep ranking to improve your rank!,保持排名以提升段位！,ランキングを維持してランクを上げましょう！,Continue classificando para melhorar sua classificação!,¡Sigue subiendo de rango para mejorar tu posición!,"Steigern Sie Ihr Ranking weiter, um Ihren Rang zu verbessern!",Continuez à vous classer pour améliorer votre rang !,순위를 높이려면 순위를 계속 올리세요!,استمر في الترتيب لتحسين ترتيبك!,Продолжайте повышать свой рейтинг!
ReachNewRank,Congratulations on reaching rank XX!,恭喜您达到XX段位！,XXランク到達おめでとうございます！,Parabéns por atingir a classificação XX!,¡Felicitaciones por alcanzar el rango XX!,Herzlichen Glückwunsch zum Erreichen von Rang XX!,Félicitations pour avoir atteint le rang XX !,랭크 XX 달성 축하합니다!,تهانينا على الوصول إلى المرتبة XX!,Поздравляем с достижением ранга XX!
YOU,You,你,あなた,Você,¡Tú,Sie,Toi,당신,لقد,Вы
RankUp,Rank Up!,段位提升！,ランクアップ！,Subiu de classificação!,¡Sube de rango!,steigen im Ranking auf!,Montez en grade !,랭크 업!,ارتقيت في الترتيب!,Повысить рейтинг!
RankDown,Rank Down,段位下降,ランクが下がる,Desceu de classificação,¡Baja de rango!,Sinken im Ranking,Descendez en grade,랭크 다운,تراجعت في الترتيب,Понизить рейтинг
END,End,已结束,終了,Fim,Fin,Ende,Fin,종료,النهاية,Конец
Ranking,You are <size=80><color=blue><b>XX</b></color></size>,您是第 <size=80><color=blue><b>XX</b></color></size> 名,あなたは <size=80><color=blue><b>XX</b></color></size> です,Você é <size=80><color=blue><b>XX</b></color></size>,Eres <size=80><color=blue><b>XX</b></color></size>,Du bist <size=80><color=blue><b>XX</b></color></size>,Vous êtes <size=80><color=blue><b>XX</b></color></size>,당신은 <size=80><color=blue><b>XX</b></color></size>입니다.,أنت <size=80><color=blue><b>XX</b></color></size>,Вы <size=80><color=blue><b>XX</b></color></size>
Rankingup,You have reached XX rank,您上升到XX段位,XX ランクに到達しました,Você atingiu a classificação XX,Has alcanzado el rango XX,Du hast Rang XX erreicht,Vous avez atteint le rang XX,당신은 XX 랭크에 도달했습니다.,لقد وصلت إلى رتبة XX,Вы достигли XX ранга
Rankingdown,You drop to XX rank,您下降到XX段位,XX ランクに落ちました,Você cai para a classificação XX,Bajas al rango XX,Du fällst auf Rang XX zurück,Vous descendez au rang XX,당신은 XX 랭크로 떨어졌습니다.,لقد انخفضت إلى رتبة XX,Вы опустились до XX ранга
Rankinghold,You are still in the XX rank,您依旧是XX段位,あなたはまだ XX ランクです,Você ainda está na classificação XX,Aún estás en el rango XX1,Du bist immer noch im Rang XX1,Vous êtes toujours au rang XX1,당신은 여전히 ​​XX 랭크에 있습니다.,ما زلت في رتبة XX1,Вы все еще в XX ранге1
